open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,price_volatility,volume_ma,price_change_pct,hl_range,true_range,atr,buy_pressure
2025-02-24,2.5763,2.999,1.951,2.9396,3123033998.0,2025-03-02 23:59:59.999,7298281517.4958,24142281,1539118511.0,3603404572.6292,0,,,,53.71604305484367,1.048,,49.28279717690092
2025-03-03,2.9395,2.9676,2.083,2.1387,2739092284.0,2025-03-09 23:59:59.999,6752415414.5768,21136968,1340482949.0,3307027939.7141,0,,,-27.245203429037968,42.467594815170415,0.8845999999999998,,48.93894801683871
2025-03-10,2.1388,2.4751,1.9,2.2938,1794419040.0,2025-03-16 23:59:59.999,3967079950.0501,15692544,887170181.0,1962590241.864,0,,,7.25206901388693,30.268421052631577,0.5751,,49.440524271298415
2025-03-17,2.2938,2.59,2.2225,2.4393,1280685979.0,2025-03-23 23:59:59.999,3095786853.154,9958662,642165865.0,1552950445.1388,0,,,6.343185979597155,16.53543307086613,0.3674999999999997,,50.14233586764363
2025-03-24,2.4392,2.5044,2.0607,2.1369,1053788565.0,2025-03-30 23:59:59.999,2414148914.8422,7734458,517394352.0,1184742723.174,0,,,-12.396999139097286,21.531518416072196,0.44369999999999976,,49.098497477053186
2025-03-31,2.1371,2.233,1.8625,1.9218,1603346389.0,2025-04-06 23:59:59.999,3332089533.3742,13311304,786575653.0,1636228690.376,0,,,-10.065983433946368,19.89261744966443,0.37050000000000005,,49.05837306251606
2025-04-07,1.9218,2.2475,1.6134,2.1196,2466834015.0,2025-04-13 23:59:59.999,4730966100.531,13533986,1193943385.0,2290872355.7804,0,,,10.292434176293064,39.30209495475394,0.6341000000000001,,48.39982656879328
2025-04-14,2.1196,2.1853,2.0355,2.0787,726083448.7,2025-04-20 23:59:59.999,1525770577.9497,7160331,360584546.6,757885709.8279501,0,,,-1.9296093602566566,7.359371161876687,0.14979999999999993,,49.661584662975116
2025-04-21,2.0786,2.301,2.0594,2.252,1154235582.7,2025-04-27 23:59:59.999,2527033888.00054,8960590,564343857.6,1235681452.67129,0,,,8.336941357579253,11.731572302612413,0.24160000000000004,,48.893299258707735
2025-04-28,2.2521,2.363,2.1235,2.156,755671308.4,2025-05-04 23:59:59.999,1690313202.28701,6363942,368461644.6,824685768.54342,0,,,-4.262877442273516,11.278549564398402,0.23950000000000005,,48.75951230438433
2025-05-05,2.1561,2.4844,2.0777,2.367,1158237896.8,2025-05-11 23:59:59.999,2641007309.48345,10125214,572169273.6,1302771705.27736,0,,,9.786641929499073,19.57452952784328,0.40669999999999984,,49.39997863830905
