open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
1728691200000,2439.49,2490.51,2434.35,2476.4,139637.5062,1728777599999,343538957.820228,1058123,,,
1728777600000,2476.4,2484.92,2436.4,2468.91,120022.8179,1728863999999,295322793.084125,1032905,,,
1728864000000,2468.92,2654.0,2443.39,2629.79,435900.1619,1728950399999,1119084230.807938,2715025,,,
1728950400000,2629.79,2688.6,2537.36,2607.41,416285.6663,1729036799999,1083630113.139707,3306565,,,
1729036800000,2607.41,2647.79,2588.67,2611.1,260322.4242,1729123199999,681342662.41857,2813136,,,
1729123200000,2611.1,2648.37,2575.4,2605.8,221624.5434,1729209599999,579597649.929403,2543113,,,
1729209600000,2605.79,2675.58,2596.49,2642.17,292444.1153,1729295999999,771232214.935164,2835054,,,
1729296000000,2642.17,2663.49,2631.02,2648.2,105413.7646,1729382399999,278723129.157894,1145594,,,
1729382400000,2648.2,2759.0,2635.54,2746.91,256910.7448,1729468799999,692550694.441629,2274845,,,
1729468800000,2746.91,2769.48,2655.01,2666.7,310674.7232,1729555199999,839718870.967621,2526347,,,
1729555200000,2666.71,2671.92,2606.56,2622.81,265747.713,1729641599999,699818031.28854,2153796,,,
1729641600000,2622.81,2628.2,2450.0,2524.61,352647.7086,1729727999999,897683017.740168,2642127,,,
1729728000000,2524.6,2562.65,2507.31,2535.82,290851.7842,1729814399999,737665762.666147,2252562,,,
1729814400000,2535.82,2566.33,2382.59,2440.62,514799.8822,1729900799999,1282541014.469803,3741205,,,
1729900800000,2440.63,2508.0,2430.12,2482.51,248724.8313,1729987199999,612908876.738983,1985542,,,
1729987200000,2482.51,2527.99,2464.13,2507.8,137580.8836,1730073599999,342704461.298222,1337190,,,
1730073600000,2507.8,2589.67,2471.67,2567.48,360605.327,1730159999999,910015100.830837,2847523,,,
1730160000000,2567.49,2681.86,2561.2,2638.8,451915.7025,1730246399999,1187541746.021715,3690029,,,
