open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-02-15,88.06,91.26,84.89,86.16,3929085.4,2026-02-15 23:59:59.999,346250701.78011,1210120,1880755.574,165906867.63736,0
2026-02-16,86.15,86.93,82.55,86.45,3559751.811,2026-02-16 23:59:59.999,302546627.54411,1097748,1807368.413,153613095.6553,0
2026-02-17,86.45,87.69,82.92,85.08,2774655.865,2026-02-17 23:59:59.999,235673494.40328,1064339,1385557.165,117665694.65988,0
2026-02-18,85.09,86.09,80.48,81.61,3137603.97,2026-02-18 23:59:59.999,261289831.6858,1026899,1549834.071,129067557.82814,0
2026-02-19,81.61,82.67,79.61,82.5,2848277.49,2026-02-19 23:59:59.999,231385778.97627,946105,1441047.461,117015965.07576,0
2026-02-20,82.5,85.49,81.77,84.67,3754556.759,2026-02-20 23:59:59.999,314351728.4764,1184887,1792745.473,150107101.72758,0
2026-02-21,84.68,86.72,83.97,86.45,1510661.244,2026-02-21 23:59:59.999,129066822.54891,410178,732575.864,62623392.32981,0
