open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,price_volatility,volume_ma,price_change_pct,hl_range,true_range,atr,buy_pressure
2026-02-14 20:00:00,88.21,88.44,87.69,88.17,96214.77,2026-02-14 20:59:59.999,8467929.73103,27616,42811.371,3770379.22485,0,,,,0.8552856654122478,0.75,,44.49563305093386
2026-02-14 21:00:00,88.16,88.44,87.29,88.07,141162.593,2026-02-14 21:59:59.999,12417966.65097,36699,66778.326,5877317.15516,0,,,-0.11341726210730707,1.3174475884981,1.1499999999999915,,47.30596440659035
2026-02-14 22:00:00,88.07,88.89,87.9,88.5,110421.188,2026-02-14 22:59:59.999,9764022.77761,36411,65499.614,5792113.87118,0,,,0.48824798455775476,1.1262798634812228,0.9899999999999949,,59.31797618406351
2026-02-14 23:00:00,88.5,88.9,88.03,88.06,86794.612,2026-02-14 23:59:59.999,7675707.62205,34418,41394.862,3661874.53674,0,,,-0.4971751412429337,0.9882994433715829,0.8700000000000045,,47.692893655656874
2026-02-15 00:00:00,88.06,88.42,87.8,88.19,70896.387,2026-02-15 00:59:59.999,6240299.93022,30724,26777.914,2357920.81254,0,,,0.14762661821485779,0.7061503416856544,0.6200000000000045,,37.7704917459334
2026-02-15 01:00:00,88.19,88.72,87.6,88.29,118881.755,2026-02-15 01:59:59.999,10474221.03532,41738,57999.61,5112702.05817,0,,,0.11339154099105908,1.2785388127853934,1.1200000000000045,,48.78764617833914
2026-02-15 02:00:00,88.28,88.5,87.52,88.0,108281.504,2026-02-15 02:59:59.999,9536402.74264,38914,49352.774,4348233.22877,0,,,-0.32846301959452706,1.1197440585009186,0.980000000000004,,45.57821250801983
2026-02-15 03:00:00,88.01,88.78,87.31,88.61,179433.756,2026-02-15 03:59:59.999,15780600.17964,52037,94380.985,8307172.25137,0,,,0.6931818181818095,1.6836559386095507,1.4699999999999989,,52.599347583182734
2026-02-15 04:00:00,88.6,89.82,88.35,88.79,371609.561,2026-02-15 04:59:59.999,33050410.19668,79324,191272.488,17024084.99208,0,,,0.20313734341497192,1.663837011884549,1.4699999999999989,,51.47135813332855
2026-02-15 05:00:00,88.8,90.06,88.75,89.68,147555.926,2026-02-15 05:59:59.999,13208772.39452,51105,92006.665,8238974.80176,0,,,1.0023651312084603,1.4760563380281715,1.3100000000000023,,62.35375799139371
2026-02-15 06:00:00,89.68,90.16,89.34,89.6,92915.805,2026-02-15 06:59:59.999,8339849.04234,43874,53470.683,4800431.94906,0,,,-0.0892060660125038,0.9178419520931198,0.8199999999999932,,57.54745707686653
2026-02-15 07:00:00,89.6,90.98,89.4,90.74,194151.756,2026-02-15 07:59:59.999,17555100.43626,61731,103084.94,9314593.67798,0,,,1.2723214285714324,1.7673378076062618,1.5799999999999983,,53.09503355715207
2026-02-15 08:00:00,90.74,91.26,89.22,89.67,404018.675,2026-02-15 08:59:59.999,36438699.81731,79880,199673.41,18003206.71748,0,,,-1.179193299537129,2.2864828513786217,2.0400000000000063,,49.42182684995935
2026-02-15 09:00:00,89.66,90.53,89.46,90.0,98233.197,2026-02-15 09:59:59.999,8858182.92065,44116,48739.73,4394669.65375,0,,,0.36801605888256983,1.196065280572331,1.0700000000000074,,49.616353217130865
2026-02-15 10:00:00,90.0,90.13,89.05,89.53,164520.566,2026-02-15 10:59:59.999,14711725.28742,42568,76880.661,6876822.13535,0,,,-0.5222222222222239,1.2128017967434008,1.0799999999999983,,46.73012187424641
2026-02-15 11:00:00,89.53,89.83,89.01,89.17,46745.316,2026-02-15 11:59:59.999,4175038.45465,25143,16067.095,1435695.69109,0,,,-0.4020998547972776,0.9212448039546042,0.8199999999999932,,34.37156142018593
2026-02-15 12:00:00,89.18,89.63,87.3,87.31,265700.781,2026-02-15 12:59:59.999,23565978.75243,66217,108102.993,9586079.32257,0,,,-2.0859033307166097,2.6689576174112237,2.3299999999999983,,40.685989929401075
2026-02-15 13:00:00,87.32,88.37,86.82,86.96,255573.237,2026-02-15 13:59:59.999,22383213.42635,90065,113372.266,9932720.59268,0,,,-0.4008704615737102,1.7853029255931945,1.5500000000000114,,44.359991418037254
2026-02-15 14:00:00,86.96,87.61,86.66,87.35,168435.313,2026-02-15 14:59:59.999,14686200.45946,56551,99030.151,8638149.40278,0,,,0.4484820607175699,1.096238172167093,0.9500000000000028,,58.79417399841802
2026-02-15 15:00:00,87.35,87.66,86.93,87.42,76427.197,2026-02-15 15:59:59.999,6672108.22439,37171,38811.417,3389177.26966,0,1.0202294633535793,159898.69475,0.08013737836292112,0.8397561256183017,0.7299999999999898,1.185,50.782206496464866
2026-02-15 16:00:00,87.41,87.66,86.72,87.57,149135.485,2026-02-15 16:59:59.999,13026219.55375,43274,67207.871,5869908.62229,0,1.0422923875058414,162544.7305,0.17158544955386823,1.0839483394833922,0.9399999999999977,1.1945000000000001,45.064976320022026
