open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1770364800000,1898.21,1906.23,1865.24,1873.78,521399.058,1770368399999,981254677.77157,976922,247276.931,465542569.67468
1770368400000,1873.78,1928.84,1870.3,1918.44,524238.672,1770371999999,997506923.36553,873161,276146.56,525288303.61166
1770372000000,1918.44,1937.46,1909.03,1926.27,356895.974,1770375599999,686246543.80238,579553,173307.864,333316217.59108
1770375600000,1926.27,1939.8,1919.0,1931.76,237717.987,1770379199999,458503341.51001,469689,124417.272,240024722.63495
1770379200000,1931.75,1931.75,1914.0,1920.01,233467.762,1770382799999,448536169.82608,478721,116359.735,223548764.50544
1770382800000,1920.01,1961.84,1918.46,1949.3,522917.592,1770386399999,1016281079.61946,879230,291362.929,566302656.44856
1770386400000,1949.3,2001.86,1932.0,1978.2,866015.153,1770389999999,1706089001.80011,1353878,450721.505,888197523.94017
1770390000000,1978.21,1996.4,1960.0,1979.49,570505.193,1770393599999,1127781248.80803,1198048,299285.351,591651013.27454
1770393600000,1979.49,2047.25,1969.99,2034.94,888434.013,1770397199999,1793526006.78216,1287258,458577.667,925506983.20739
1770397200000,2034.96,2090.0,2026.8,2066.53,789702.128,1770400799999,1629456376.30033,1299890,430121.47,887875547.12407
1770400800000,2066.53,2070.0,2029.67,2044.21,615397.895,1770404399999,1258762174.95019,1268974,290718.883,594607788.03972
1770404400000,2044.21,2072.0,2032.3,2065.15,323078.764,1770407999999,663164411.70446,766933,168037.938,344901969.29215
1770408000000,2065.14,2095.1,2042.43,2053.19,421553.287,1770411599999,872021660.98595,896062,225278.468,466150065.87222
1770411600000,2053.19,2061.45,2041.41,2053.45,166345.076,1770415199999,341429646.72266,514468,83544.728,171484192.58637
1770415200000,2053.45,2086.05,2045.08,2074.06,275428.507,1770418799999,569301563.71461,559674,143065.998,295728388.63433
1770418800000,2074.05,2087.7,2049.36,2062.54,249908.586,1770422399999,516634137.24528,668353,130631.412,270047436.1755
1770422400000,2062.55,2063.74,2036.02,2043.09,238341.929,1770425999999,488116093.3419,782369,113018.264,231453289.90682
1770426000000,2043.09,2065.9,2031.76,2060.69,177425.279,1770429599999,363271647.47888,432585,92288.445,189031517.37566
1770429600000,2060.69,2064.5,2047.32,2058.46,106025.792,1770433199999,218050199.03897,315947,51324.162,105559028.15883
1770433200000,2058.47,2085.52,2057.52,2079.62,236721.815,1770436799999,490740816.41409,464705,116496.641,241505801.83299
1770436800000,2079.61,2118.87,2077.58,2086.14,430418.684,1770440399999,902031466.54709,793374,238757.863,500491223.07664
1770440400000,2086.14,2103.1,2076.28,2082.74,183667.951,1770443999999,383732353.52238,455782,84133.577,175827938.89158
1770444000000,2082.73,2092.7,2045.96,2046.54,291719.363,1770447599999,604191542.88419,534129,115205.449,238763347.41766
1770447600000,2046.55,2054.86,1993.34,2026.09,852678.061,1770451199999,1723844876.14451,1326521,403580.632,815779439.91321
1770451200000,2026.09,2031.53,2014.12,2018.32,235383.32,1770454799999,476188002.2979,527394,114119.934,230907952.3782
1770454800000,2018.32,2029.4,2004.14,2013.64,195399.051,1770458399999,393754666.22182,411675,88819.958,179095851.0364
1770458400000,2013.63,2019.35,1998.52,2009.7,178471.87,1770461999999,358252239.16554,376117,84131.285,168943490.39453
1770462000000,2009.71,2021.9,2005.88,2017.52,123879.47,1770465599999,249220132.26398,277992,65366.609,131524249.56868
1770465600000,2017.53,2075.61,2015.87,2040.6,587913.623,1770469199999,1203910910.09481,980690,316416.388,647873399.97502
1770469200000,2040.61,2050.0,2027.27,2040.76,216705.358,1770472799999,441919124.65236,428680,110403.35,225226718.67437
1770472800000,2040.77,2048.75,2008.18,2019.4,269304.678,1770476399999,545801263.65268,460337,115953.901,235124990.06008
1770476400000,2019.4,2063.12,2013.13,2051.49,297117.495,1770479999999,606837369.90325,630639,161308.466,329506457.1683
