open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1770364800000,64811.2,65168.9,64438.9,64850.1,13883.424,1770368399999,899602715.8032,468614,6244.083,404674739.287
1770368400000,64850.2,66119.2,64716.6,65757.9,15267.607,1770371999999,1000706593.9588,438639,7629.366,499894056.6083
1770372000000,65757.9,66198.7,65500.0,65929.4,11219.667,1770375599999,739268065.4015,311162,4837.085,318760610.5682
1770375600000,65929.5,66773.4,65732.1,66586.1,13740.05,1770379199999,909885135.1946,315820,8439.07,559076017.9116
1770379200000,66586.1,66588.0,66072.0,66522.6,9918.345,1770382799999,657820261.4448,305876,5031.695,333759360.6481
1770382800000,66522.7,67661.8,66440.8,67274.9,24032.659,1770386399999,1611746392.125,682728,13430.564,900900323.2869
1770386400000,67274.9,68588.0,66539.3,68149.1,39719.043,1770389999999,2689301088.7766,1143992,19898.351,1347792671.8776
1770390000000,68149.1,69157.9,67715.0,68577.5,32017.004,1770393599999,2188046233.4307,1075854,16748.365,1144895472.4834
1770393600000,68577.5,70188.8,68348.0,69896.0,35363.519,1770397199999,2458941258.7673,977385,18827.57,1309169749.5454
1770397200000,69896.0,71451.6,69536.0,70707.3,33804.794,1770400799999,2388529300.5343,994033,18987.777,1341751538.6664
1770400800000,70707.3,70772.1,69301.8,69728.7,26679.981,1770404399999,1865912250.1399,841749,12163.199,850712720.0447
1770404400000,69728.7,70927.8,69608.0,70675.5,12127.002,1770407999999,851795612.3992,484407,6546.826,460075725.2843
1770408000000,70675.5,70954.7,69925.3,69939.0,13222.419,1770411599999,931074931.1471,517525,6468.504,455568823.633
1770411600000,69939.0,70454.8,69764.7,70308.7,6390.025,1770415199999,448085297.8276,292404,3365.183,236019441.8587
1770415200000,70308.7,71550.0,70227.7,71321.1,12899.943,1770418799999,915352320.2025,383401,7829.705,555447699.4767
1770418800000,71321.2,71714.4,70469.1,70544.5,11829.011,1770422399999,839471846.2719,373169,5304.165,376619856.9587
1770422400000,70544.5,70569.4,69674.5,69917.1,14132.531,1770425999999,990138273.7562,483512,6744.375,472494384.8543
1770426000000,69917.2,70665.1,69695.9,70431.1,7386.123,1770429599999,518385565.4642,269981,4112.331,288767250.95
1770429600000,70431.0,70589.1,70101.1,70319.0,4176.687,1770433199999,293831818.9698,189778,2021.685,142259124.7276
1770433200000,70319.1,70899.5,70237.4,70887.1,6160.414,1770436799999,435315899.9617,237227,3052.567,215715286.5423
1770436800000,70887.2,71690.0,70564.0,70728.7,12773.123,1770440399999,908274590.9794,414484,6736.658,479190525.3923
1770440400000,70728.6,71150.0,69906.4,70124.6,11941.722,1770443999999,841324355.1944,355123,4779.414,336798422.4333
1770444000000,70124.6,70274.5,68700.0,68733.6,19458.749,1770447599999,1353523440.7789,497458,6470.967,450541245.9174
1770447600000,68733.6,69050.0,67250.0,68050.5,44529.556,1770451199999,3031064447.6708,1197819,22115.547,1504866439.8772
1770451200000,68050.5,68797.8,67710.8,68458.5,16734.464,1770454799999,1143682992.5533,497300,9921.722,678326478.6058
