open_time,open_time_iso,close_time,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_base,taker_quote,price_range,price_range_pct,price_change,price_change_pct,volume_avg_20,price_volatility_20
1769904000000,2026-02-01 00:00:00,1769907599999,2026-02-01 00:59:59,2451.96,2475.98,2446.12,2452.18,31996.0758,78724304.879748,441442,12526.2629,30832501.702618,29.860000000000127,1.2178012691887359,0.2199999999997999,0.008972413905602045,,
1769907600000,2026-02-01 01:00:00,1769911199999,2026-02-01 01:59:59,2452.18,2455.61,2429.15,2444.7,25046.808,61125510.858843,401089,9941.7467,24265795.962841,26.460000000000036,1.0790398747237169,-7.480000000000018,-0.30503470381456577,,
1769911200000,2026-02-01 02:00:00,1769914799999,2026-02-01 02:59:59,2444.7,2461.81,2440.24,2452.61,18593.7778,45578789.093793,335206,8100.1067,19856988.61028,21.570000000000164,0.8823168486930979,7.910000000000309,0.3235570826686428,,
1769914800000,2026-02-01 03:00:00,1769918399999,2026-02-01 03:59:59,2452.61,2456.62,2438.13,2445.46,17349.576,42421545.824119,276894,4571.9041,11182380.075774,18.48999999999978,0.7538907531160592,-7.150000000000091,-0.2915261700800409,,
1769918400000,2026-02-01 04:00:00,1769921999999,2026-02-01 04:59:59,2445.46,2454.66,2441.52,2448.23,14512.1428,35541445.697267,235573,4635.6856,11352240.047427,13.139999999999873,0.5373222215861176,2.769999999999982,0.1132711228153387,,
1769922000000,2026-02-01 05:00:00,1769925599999,2026-02-01 05:59:59,2448.23,2449.44,2424.56,2430.51,27364.6736,66712169.033264,276433,9505.5459,23167911.973238,24.88000000000011,1.0162443888033441,-17.7199999999998,-0.7237882061734314,,
1769925600000,2026-02-01 06:00:00,1769929199999,2026-02-01 06:59:59,2430.52,2440.0,2408.17,2418.65,39396.8089,95542306.876124,373722,15029.7179,36439529.966096,31.829999999999927,1.3095963003801625,-11.86999999999989,-0.4883728584829539,,
1769929200000,2026-02-01 07:00:00,1769932799999,2026-02-01 07:59:59,2418.66,2438.79,2393.46,2411.22,41360.5907,99742273.103242,473282,16535.8559,39871932.465249,45.32999999999993,1.8741782639974174,-7.440000000000055,-0.3076083451167198,,
1769932800000,2026-02-01 08:00:00,1769936399999,2026-02-01 08:59:59,2411.22,2428.37,2396.57,2412.95,26787.2595,64591169.625056,370020,10632.6665,25645931.077159,31.799999999999727,1.3188344489511423,1.7300000000000182,0.07174791184545659,,
1769936400000,2026-02-01 09:00:00,1769939999999,2026-02-01 09:59:59,2412.95,2438.22,2406.63,2432.23,13076.8797,31648703.156213,233618,6078.3962,14718149.949796,31.58999999999969,1.3091858513437782,19.2800000000002,0.7990219440933382,,
1769940000000,2026-02-01 10:00:00,1769943599999,2026-02-01 10:59:59,2432.23,2438.98,2376.1,2381.03,35950.3688,86397705.909716,483773,10762.8735,25861556.881562,62.88000000000011,2.585281819564766,-51.19999999999982,-2.1050640769992897,,
1769943600000,2026-02-01 11:00:00,1769947199999,2026-02-01 11:59:59,2381.04,2423.9,2381.03,2411.86,24016.0062,57668778.859915,339680,11127.669,26728777.82174,42.86999999999989,1.800473742566269,30.820000000000164,1.294392366360925,,
1769947200000,2026-02-01 12:00:00,1769950799999,2026-02-01 12:59:59,2411.86,2412.47,2365.0,2396.02,35212.3148,84368483.539773,291409,12296.0308,29492466.698424,47.4699999999998,1.9681905251548515,-15.840000000000146,-0.6567545379914317,,
1769950800000,2026-02-01 13:00:00,1769954399999,2026-02-01 13:59:59,2396.01,2410.53,2370.1,2381.13,16675.0461,39888323.154984,306342,7623.5762,18239650.625836,40.43000000000029,1.6873886169089563,-14.88000000000011,-0.62103246647552,,
1769954400000,2026-02-01 14:00:00,1769957999999,2026-02-01 14:59:59,2381.13,2389.57,2326.96,2373.07,58996.7022,139201357.339404,777188,26162.4995,61769490.336994,62.61000000000013,2.6294238449811695,-8.059999999999945,-0.3384947482917751,,
1769958000000,2026-02-01 15:00:00,1769961599999,2026-02-01 15:59:59,2373.07,2373.07,2285.4,2315.39,104485.0708,242054954.094215,921004,40346.5857,93467106.508747,87.67000000000007,3.69437058325292,-57.68000000000029,-2.430606766762055,,
