timestamp,buyVol,sellVol,buySellRatio,symbol
1772384400000,16477670.8000,15923257.3000,1.0348,XRPUSDT
1772388000000,13672378.6000,11021721.1000,1.2405,XRPUSDT
1772391600000,10336026.2000,11363731.4000,0.9096,XRPUSDT
1772395200000,18703807.6000,24764921.4000,0.7553,XRPUSDT
1772398800000,10737937.5000,9915153.0000,1.0830,XRPUSDT
1772402400000,20898951.3000,20508525.0000,1.0190,XRPUSDT
1772406000000,15096379.0000,13779502.7000,1.0956,XRPUSDT
1772409600000,15469328.0000,14699530.5000,1.0524,XRPUSDT
1772413200000,15550251.5000,12492866.2000,1.2447,XRPUSDT
1772416800000,11656908.4000,13392910.0000,0.8704,XRPUSDT
1772420400000,10194327.0000,8826962.5000,1.1549,XRPUSDT
1772424000000,6149093.4000,8549262.5000,0.7193,XRPUSDT
1772427600000,8628563.1000,9046611.5000,0.9538,XRPUSDT
1772431200000,10200156.5000,11932682.9000,0.8548,XRPUSDT
1772434800000,13325319.3000,13143124.3000,1.0139,XRPUSDT
1772438400000,15249794.9000,12921656.9000,1.1802,XRPUSDT
