open_time,open_time_iso,close_time,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_base,taker_quote,price_range,price_range_pct,price_change,price_change_pct,volume_avg_20,price_volatility_20
1728518400000,2024-10-10 00:00:00,1728604799999,2024-10-10 23:59:59,60636.01,61321.68,58946.0,60326.39,23967.92481,1445604381.9363792,3872577,10827.77272,653182369.9427671,2375.6800000000003,3.917935893209332,-309.6200000000026,-0.5106206691370402,,
1728604800000,2024-10-11 00:00:00,1728691199999,2024-10-11 23:59:59,60326.4,63417.56,60087.64,62540.0,23641.35209,1462219576.849865,3222180,12099.56755,748431117.9165705,3329.9199999999983,5.519838743899848,2213.5999999999985,3.669371949925735,,
1728691200000,2024-10-12 00:00:00,1728777599999,2024-10-12 23:59:59,62539.99,63480.0,62487.23,63206.22,10911.30116,686978508.9887543,1770837,5196.91695,327263147.4760401,992.7699999999968,1.5874163075497723,666.2300000000032,1.065286387158046,,
1728777600000,2024-10-13 00:00:00,1728863999999,2024-10-13 23:59:59,63206.23,63285.72,62050.0,62870.02,11909.21995,746564374.2082387,2242529,5855.04617,367046338.9194209,1235.7200000000012,1.9550604426177627,-336.2100000000064,-0.5319254130486921,,
1728864000000,2024-10-14 00:00:00,1728950399999,2024-10-14 23:59:59,62870.02,66500.0,62457.81,66083.99,37669.95222,2450094472.813545,4977577,19941.11906,1297062359.2474864,4042.1900000000023,6.429439659793336,3213.9700000000084,5.112086810215757,,
1728950400000,2024-10-15 00:00:00,1729036799999,2024-10-15 23:59:59,66084.0,67950.0,64800.01,67074.14,43683.95423,2894021862.319518,6245619,21820.682,1446378130.5659852,3149.989999999998,4.76664548150838,990.1399999999994,1.4983051873373274,,
1729036800000,2024-10-16 00:00:00,1729123199999,2024-10-16 23:59:59,67074.14,68424.0,66750.49,67620.01,29938.25544,2024560410.1062675,5109685,15212.87402,1029210667.4758284,1673.5099999999948,2.4950152174891764,545.8699999999953,0.8138307848598512,,
1729123200000,2024-10-17 00:00:00,1729209599999,2024-10-17 23:59:59,67620.0,67939.4,66666.0,67421.78,25328.22861,1702164439.5654595,3981960,12153.94712,816887407.4042379,1273.3999999999942,1.8831706595681663,-198.22000000000116,-0.2931381248151452,,
1729209600000,2024-10-18 00:00:00,1729295999999,2024-10-18 23:59:59,67421.78,69000.0,67192.36,68428.0,28725.635,1959735899.8769643,4010969,14218.1785,970440964.2668117,1807.6399999999994,2.6810920744008824,1006.2200000000012,1.4924257413553916,,
1729296000000,2024-10-19 00:00:00,1729382399999,2024-10-19 23:59:59,68427.99,68693.26,68010.0,68378.0,8193.66737,559628628.9613105,1152428,4071.19627,278085065.5176925,683.2599999999948,0.9985095280454601,-49.99000000000524,-0.0730549004873667,,
1729382400000,2024-10-20 00:00:00,1729468799999,2024-10-20 23:59:59,68377.99,69400.0,68100.0,69031.99,12442.47378,854082429.8105861,1563795,6772.92574,465001555.930983,1300.0,1.9011965692469168,654.0,0.9564481202211412,,
1729468800000,2024-10-21 00:00:00,1729555199999,2024-10-21 23:59:59,69032.0,69519.52,66840.67,67377.5,31374.42184,2130833593.5466976,3686777,13593.60828,923860758.4208844,2678.850000000006,3.880591609688269,-1654.5,-2.3967145671572605,,
1729555200000,2024-10-22 00:00:00,1729641599999,2024-10-22 23:59:59,67377.5,67836.01,66571.42,67426.0,24598.96268,1654285791.6605556,3669291,12400.51857,834160889.2398736,1264.5899999999965,1.8768728433082207,48.5,0.07198248673518608,,
1729641600000,2024-10-23 00:00:00,1729727999999,2024-10-23 23:59:59,67426.01,67472.83,65260.0,66668.65,25530.2407,1695101430.9187467,3807365,11888.33995,789384635.110686,2212.8300000000017,3.281864075895937,-757.3600000000006,-1.1232460589021962,,
1729728000000,2024-10-24 00:00:00,1729814399999,2024-10-24 23:59:59,66668.65,68850.0,66510.0,68198.28,22589.83877,1526736320.912938,3797462,11502.58514,777936396.524746,2340.0,3.5098955806064773,1529.6300000000047,2.294376742291924,,
1729814400000,2024-10-25 00:00:00,1729900799999,2024-10-25 23:59:59,68198.27,68771.49,65596.29,66698.33,34479.71125,2320667435.293254,5332593,16031.032,1079347459.1549635,3175.2000000000116,4.655836577672734,-1499.9400000000023,-2.199381303953901,,
1729900800000,2024-10-26 00:00:00,1729987199999,2024-10-26 23:59:59,66698.32,67454.55,66439.9,67092.76,11842.9077,792887047.147892,2373501,6069.18986,406369780.1532944,1014.6500000000087,1.5212527092136783,394.4399999999878,0.5913792131495782,,
1729987200000,2024-10-27 00:00:00,1730073599999,2024-10-27 23:59:59,67092.76,68332.05,66913.73,68021.7,8653.19592,585006148.4704809,1771989,4417.7362,298699666.9984393,1418.320000000007,2.1139687799399027,928.9400000000023,1.3845607186229967,,
1730073600000,2024-10-28 00:00:00,1730159999999,2024-10-28 23:59:59,68021.69,70270.0,67618.0,69962.21,29046.75459,2005105729.8174448,4432446,15218.34976,1051606096.4298259,2652.0,3.8987564113740776,1940.520000000004,2.852795924358839,,
1730160000000,2024-10-29 00:00:00,1730246399999,2024-10-29 23:59:59,69962.21,73620.12,69760.0,72736.42,50128.60594,3602465986.8917575,5645430,26898.46516,1932608784.1630373,3860.1199999999953,5.5174357699678085,2774.209999999992,3.965297837218109,24732.8302025,2806.4196727418316
