timestamp,buyVol,sellVol,buySellRatio,symbol
1771912800000,2980.0210,3096.1380,0.9625,BTCUSDT
1771916400000,3235.1720,3248.2150,0.9960,BTCUSDT
1771920000000,2929.0360,2650.8610,1.1049,BTCUSDT
1771923600000,2707.1440,3130.6750,0.8647,BTCUSDT
1771927200000,1621.3370,1519.1900,1.0672,BTCUSDT
1771930800000,1595.1880,1841.5470,0.8662,BTCUSDT
1771934400000,2483.3700,3152.9390,0.7876,BTCUSDT
1771938000000,8550.7140,8390.7130,1.0191,BTCUSDT
1771941600000,10117.5610,9276.2770,1.0907,BTCUSDT
1771945200000,7281.4340,7019.3180,1.0373,BTCUSDT
1771948800000,9273.1380,8373.7070,1.1074,BTCUSDT
1771952400000,5071.1770,5376.3270,0.9432,BTCUSDT
1771956000000,4662.2380,4142.0660,1.1256,BTCUSDT
1771959600000,4148.0060,3571.8650,1.1613,BTCUSDT
1771963200000,1669.8610,1894.8130,0.8813,BTCUSDT
1771966800000,3504.0380,3850.8750,0.9099,BTCUSDT
1771970400000,1372.0700,1469.2050,0.9339,BTCUSDT
1771974000000,1915.0500,1835.1580,1.0435,BTCUSDT
1771977600000,1775.0890,1622.3340,1.0942,BTCUSDT
1771981200000,18546.6940,15612.4020,1.1879,BTCUSDT
1771984800000,5280.6240,4841.5400,1.0907,BTCUSDT
1771988400000,4438.8220,5123.1640,0.8664,BTCUSDT
1771992000000,4031.5890,3634.6680,1.1092,BTCUSDT
1771995600000,4457.0230,5087.6410,0.8760,BTCUSDT
1771999200000,2185.1810,1948.1390,1.1217,BTCUSDT
1772002800000,2956.7880,2488.2440,1.1883,BTCUSDT
1772006400000,3804.8480,2755.1420,1.3810,BTCUSDT
1772010000000,2519.7880,2571.3490,0.9799,BTCUSDT
1772013600000,1495.0310,1922.8230,0.7775,BTCUSDT
1772017200000,1967.9960,2179.0030,0.9032,BTCUSDT
1772020800000,6793.0440,5640.4420,1.2043,BTCUSDT
