open_time,open_time_iso,close_time,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_base,taker_quote,price_range,price_range_pct,price_change,price_change_pct,volume_avg_20,price_volatility_20
1769904000000,2026-02-01 00:00:00,1769907599999,2026-02-01 00:59:59,78741.1,79424.0,78644.09,78902.31,1738.02598,137406050.2797791,453145,922.66296,72972570.892902,779.9100000000035,0.9904738440280914,161.20999999999185,0.20473424933102513,,
1769907600000,2026-02-01 01:00:00,1769911199999,2026-02-01 01:59:59,78902.31,78943.62,78284.0,78532.17,1163.10084,91401610.5329853,365358,431.91227,33937511.8118997,659.6199999999953,0.8359958029112144,-370.1399999999994,-0.46911174083496343,,
1769911200000,2026-02-01 02:00:00,1769914799999,2026-02-01 02:59:59,78532.32,79060.44,78378.0,78900.01,762.94469,60059542.1075661,280075,405.87848,31954747.5989653,682.4400000000023,0.868992537085371,367.6899999999878,0.46820213639427405,,
1769914800000,2026-02-01 03:00:00,1769918399999,2026-02-01 03:59:59,78900.01,79008.36,78666.73,78868.28,594.31033,46838113.0947163,198452,304.95888,24033801.3198636,341.63000000000466,0.43299107313168234,-31.729999999995925,-0.04021545751387855,,
1769918400000,2026-02-01 04:00:00,1769921999999,2026-02-01 04:59:59,78868.29,79119.3,78720.97,78971.75,441.04188,34823785.6762405,154405,246.77599,19486032.7619342,398.33000000000175,0.505057228957293,103.4600000000064,0.13118073182518145,,
1769922000000,2026-02-01 05:00:00,1769925599999,2026-02-01 05:59:59,78973.22,79006.0,78527.13,78620.91,744.7428,58660566.0800846,198307,391.59057,30847430.7585837,478.86999999999534,0.6063701087533158,-352.3099999999977,-0.4461132520618985,,
1769925600000,2026-02-01 06:00:00,1769929199999,2026-02-01 06:59:59,78620.9,78824.1,78266.63,78300.0,568.62406,44665527.2636759,200310,254.10936,19963285.0831139,557.4700000000012,0.709060822249556,-320.8999999999942,-0.4081611886915492,,
1769929200000,2026-02-01 07:00:00,1769932799999,2026-02-01 07:59:59,78300.01,78724.01,77967.69,78343.0,808.74546,63296409.9875797,291017,361.65344,28313688.908586,756.3199999999924,0.9659258025637449,42.99000000000524,0.054904207547362055,,
1769932800000,2026-02-01 08:00:00,1769936399999,2026-02-01 08:59:59,78343.0,78863.0,78252.64,78604.02,567.72389,44603722.9275774,223580,262.43775,20622606.6589598,610.3600000000006,0.779086836092568,261.0200000000041,0.33317590595203667,,
1769936400000,2026-02-01 09:00:00,1769939999999,2026-02-01 09:59:59,78604.02,79136.1,78551.15,79034.45,479.76229,37807903.1491442,189051,280.94149,22142689.3087337,584.9500000000116,0.7441731351653663,430.429999999993,0.5475928584822926,,
1769940000000,2026-02-01 10:00:00,1769943599999,2026-02-01 10:59:59,79034.45,79220.72,78148.1,78279.73,863.43565,67942607.3662948,312831,406.14845,31973842.5881494,1072.6199999999953,1.3571550127823948,-754.7200000000012,-0.9549253521723768,,
1769943600000,2026-02-01 11:00:00,1769947199999,2026-02-01 11:59:59,78279.73,78877.89,78279.72,78743.56,539.38656,42379299.7466323,218909,263.27303,20688427.9339882,598.1699999999983,0.7641441788314782,463.83000000000175,0.5925288705007054,,
