timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772085600000,10187223.78000000,893623269.98160000,SOLUSDT
1772089200000,10170553.42000000,890920671.21874810,SOLUSDT
1772092800000,10206806.95000000,890047241.52822390,SOLUSDT
1772096400000,10208530.05000000,890805846.41092130,SOLUSDT
1772100000000,10282885.43000000,907875954.61470000,SOLUSDT
1772103600000,10233994.25000000,894591567.41295650,SOLUSDT
1772107200000,10256375.04000000,889843098.47040000,SOLUSDT
1772110800000,10210673.40000000,894794185.34714600,SOLUSDT
1772114400000,10251488.75000000,897825384.72500000,SOLUSDT
1772118000000,10238084.01000000,890528492.61554490,SOLUSDT
1772121600000,10198369.41000000,882090936.75608960,SOLUSDT
1772125200000,10177664.28000000,860258690.02670920,SOLUSDT
1772128800000,10096618.49000000,856988074.45760070,SOLUSDT
1772132400000,10029588.06000000,855824749.15980000,SOLUSDT
1772136000000,9997925.47000000,864242048.09251280,SOLUSDT
1772139600000,9987217.79000000,858900263.03756830,SOLUSDT
1772143200000,9995282.63000000,858494825.09070000,SOLUSDT
1772146800000,9978798.80000000,859185005.82198990,SOLUSDT
1772150400000,9990703.66000000,857835357.73727660,SOLUSDT
1772154000000,10006525.39000000,858485905.02292400,SOLUSDT
1772157600000,10053319.10000000,865389708.12800000,SOLUSDT
1772161200000,10067555.54000000,871051714.20996280,SOLUSDT
1772164800000,10020182.24000000,877467358.75680000,SOLUSDT
1772168400000,9939403.36000000,869598399.96640000,SOLUSDT
1772172000000,9936869.44000000,869277338.61120000,SOLUSDT
1772175600000,9962426.85000000,869520615.46800000,SOLUSDT
1772179200000,9990052.27000000,871842552.45733680,SOLUSDT
1772182800000,9979577.29000000,873426795.87868520,SOLUSDT
1772186400000,10026120.79000000,865314602.88005420,SOLUSDT
1772190000000,9990615.48000000,845805506.53680000,SOLUSDT
1772193600000,10035060.18000000,838328927.43720000,SOLUSDT
1772197200000,10060144.36000000,835696191.98520000,SOLUSDT
1772200800000,9996088.99000000,829859915.57212960,SOLUSDT
1772204400000,10065855.39000000,828963230.72211900,SOLUSDT
1772208000000,10170493.09000000,840574229.19500180,SOLUSDT
1772211600000,10175755.30000000,827288905.89000000,SOLUSDT
1772215200000,10218207.00000000,836034106.49572170,SOLUSDT
1772218800000,10294116.33000000,838455775.07850000,SOLUSDT
1772222400000,10306481.05000000,840160589.68204960,SOLUSDT
1772226000000,10293390.76000000,837932800.90950690,SOLUSDT
1772229600000,10201766.04000000,828011262.32437530,SOLUSDT
1772233200000,10159630.66000000,826892339.41740000,SOLUSDT
1772236800000,10226954.15000000,836606785.30003120,SOLUSDT
1772240400000,10224026.97000000,838983653.15820000,SOLUSDT
1772244000000,10201528.02000000,834015454.56906120,SOLUSDT
1772247600000,10214848.92000000,838365160.23397890,SOLUSDT
1772251200000,10181173.72000000,831648339.13840230,SOLUSDT
1772254800000,10161635.08000000,828986189.82640000,SOLUSDT
1772258400000,10160503.49000000,828114727.27420310,SOLUSDT
1772262000000,10249768.31000000,794639090.38450750,SOLUSDT
1772265600000,10310695.60000000,811039315.89600000,SOLUSDT
1772269200000,10307514.49000000,803489673.11374520,SOLUSDT
1772272800000,10361657.64000000,811978380.80045560,SOLUSDT
1772276400000,10354428.41000000,818517565.81050000,SOLUSDT
1772280000000,10351636.09000000,814838442.90881040,SOLUSDT
1772283600000,10394754.22000000,819834265.33140000,SOLUSDT
1772287200000,10463225.19000000,844498287.92295190,SOLUSDT
1772290800000,10440441.82000000,837151937.80500280,SOLUSDT
1772294400000,10359760.23000000,837793809.80010000,SOLUSDT
1772298000000,10307619.71000000,835123348.90420000,SOLUSDT
1772301600000,10273008.03000000,835439214.61818060,SOLUSDT
1772305200000,10224414.15000000,841469284.54500000,SOLUSDT
1772308800000,10281143.53000000,844801563.86010000,SOLUSDT
1772312400000,10059625.91000000,853477451.57367470,SOLUSDT
1772316000000,10012919.80000000,845490947.91200000,SOLUSDT
1772319600000,9920427.85000000,835796046.36250000,SOLUSDT
1772323200000,9906834.76000000,835300493.88740550,SOLUSDT
