open_time,open_time_iso,close_time,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_base,taker_quote,price_range,price_range_pct,price_change,price_change_pct,volume_avg_20,price_volatility_20
1728518400000,2024-10-10 00:00:00,1728604799999,2024-10-10 23:59:59,570.8,572.9,551.5,563.9,178198.309,100625398.3754,627366,83662.164,47242329.7708,21.399999999999977,3.7491240364400804,-6.899999999999977,-1.2088297126839485,,
1728604800000,2024-10-11 00:00:00,1728691199999,2024-10-11 23:59:59,563.8,577.5,560.1,573.6,185095.358,105075683.8837,494403,93541.93,53121267.587,17.399999999999977,3.0862007804185843,9.800000000000068,1.7382050372472628,,
1728691200000,2024-10-12 00:00:00,1728777599999,2024-10-12 23:59:59,573.7,579.2,573.6,576.6,135773.959,78315432.7874,350037,69184.051,39905229.8223,5.600000000000023,0.9761199233048671,2.8999999999999773,0.5054906745685859,,
1728777600000,2024-10-13 00:00:00,1728863999999,2024-10-13 23:59:59,576.6,578.5,564.9,572.2,118779.976,67955148.4416,349095,55469.559,31738308.1918,13.600000000000023,2.3586541796739544,-4.399999999999977,-0.7630939993062742,,
1728864000000,2024-10-14 00:00:00,1728950399999,2024-10-14 23:59:59,572.3,592.3,558.9,589.1,252803.176,147353933.5377,622130,130768.055,76269272.016,33.39999999999998,5.836099947579937,16.800000000000068,2.9355233269264494,,
1728950400000,2024-10-15 00:00:00,1729036799999,2024-10-15 23:59:59,589.0,599.9,577.7,594.5,324305.897,191193163.4713,935703,163870.926,96649890.7733,22.199999999999932,3.7691001697792754,5.5,0.9337860780984719,,
1729036800000,2024-10-16 00:00:00,1729123199999,2024-10-16 23:59:59,594.6,605.5,589.7,600.9,259951.129,155177541.6939,732070,140185.652,83719054.9534,15.799999999999955,2.6572485704675337,6.2999999999999545,1.059535822401607,,
1729123200000,2024-10-17 00:00:00,1729209599999,2024-10-17 23:59:59,601.0,606.3,585.1,592.9,194199.416,115638450.5871,574860,93570.265,55747742.5572,21.199999999999932,3.5274542429284415,-8.100000000000023,-1.347753743760403,,
1729209600000,2024-10-18 00:00:00,1729295999999,2024-10-18 23:59:59,592.9,602.4,591.8,599.2,136743.669,81756722.0332,421335,70549.63,42179490.179,10.600000000000023,1.78782256704335,6.300000000000068,1.0625737898465286,,
1729296000000,2024-10-19 00:00:00,1729382399999,2024-10-19 23:59:59,599.3,601.4,595.4,597.7,78940.239,47206621.5769,208927,39529.225,23642332.8671,6.0,1.0011680293675955,-1.599999999999909,-0.266978141164677,,
1729382400000,2024-10-20 00:00:00,1729468799999,2024-10-20 23:59:59,597.8,607.3,593.1,605.9,123572.057,74016985.857,306415,66012.894,39554372.6899,14.199999999999932,2.3753763800602097,8.100000000000023,1.3549682167949186,,
1729468800000,2024-10-21 00:00:00,1729555199999,2024-10-21 23:59:59,605.9,611.8,591.5,598.8,275880.778,166472429.799,627019,142994.75,86318025.8585,20.299999999999955,3.3503878527809796,-7.100000000000023,-1.1718105297903982,,
1729555200000,2024-10-22 00:00:00,1729641599999,2024-10-22 23:59:59,598.8,609.0,587.0,593.8,203756.934,121183814.7858,418879,101024.42,60105547.3211,22.0,3.6740146960587845,-5.0,-0.8350033400133602,,
1729641600000,2024-10-23 00:00:00,1729727999999,2024-10-23 23:59:59,593.8,595.0,573.0,584.9,225698.465,131627008.0264,572617,102668.321,59858983.5429,22.0,3.7049511620074105,-8.899999999999977,-1.498821151902994,,
1729728000000,2024-10-24 00:00:00,1729814399999,2024-10-24 23:59:59,584.9,598.0,583.3,594.5,145781.537,86192860.0254,463329,75688.053,44752330.6708,14.700000000000045,2.5132501282270554,9.600000000000023,1.641306206189096,,
1729814400000,2024-10-25 00:00:00,1729900799999,2024-10-25 23:59:59,594.5,597.6,565.8,575.3,254214.693,148562012.6002,783030,123137.129,71922679.152,31.800000000000068,5.349032800672846,-19.200000000000045,-3.2296047098402094,,
1729900800000,2024-10-26 00:00:00,1729987199999,2024-10-26 23:59:59,575.3,587.1,571.6,583.4,119987.437,69636988.2744,422862,63340.996,36756986.0152,15.5,2.6942464800973407,8.100000000000023,1.4079610637928077,,
1729987200000,2024-10-27 00:00:00,1730073599999,2024-10-27 23:59:59,583.4,591.0,581.7,589.2,94455.099,55358950.4306,270337,49282.811,28883808.9192,9.299999999999955,1.5941035310250178,5.800000000000068,0.9941720946177697,,
1730073600000,2024-10-28 00:00:00,1730159999999,2024-10-28 23:59:59,589.3,604.6,585.5,601.1,189815.882,112841110.9841,592169,99008.208,58878740.2281,19.100000000000023,3.2411335482776216,11.800000000000068,2.0023756999830424,,
1730160000000,2024-10-29 00:00:00,1730246399999,2024-10-29 23:59:59,601.1,612.2,599.9,606.3,301555.357,183028445.4459,684113,152630.668,92661284.6918,12.300000000000068,2.046248544335396,5.199999999999932,0.8650806854100702,189975.46835,12.089573585271074
1730246400000,2024-10-30 00:00:00,1730332799999,2024-10-30 23:59:59,606.3,606.7,594.1,595.6,186706.281,111921261.7247,532438,84981.261,50946899.7961,12.600000000000023,2.078179119247901,-10.699999999999932,-1.7648029028533618,190400.86695,10.50452909839119
1730332800000,2024-10-31 00:00:00,1730419199999,2024-10-31 23:59:59,595.5,596.5,571.1,576.6,279156.175,162569407.1743,570966,129369.026,75304570.0217,25.399999999999977,4.265323257766579,-18.899999999999977,-3.1738035264483586,195103.9078,10.257365774485123
1730419200000,2024-11-01 00:00:00,1730505599999,2024-11-01 23:59:59,576.5,585.5,567.7,573.1,242255.184,139653646.5376,699407,113435.933,65396861.9703,17.799999999999955,3.0875975715524637,-3.3999999999999773,-0.5897658282740638,200427.96905,10.549307784724169
1730505600000,2024-11-02 00:00:00,1730591999999,2024-11-02 23:59:59,573.1,577.2,562.4,568.6,143716.603,81923716.4734,368434,66975.219,38194128.5369,14.800000000000068,2.5824463444425176,-4.5,-0.7852032804048158,201674.8004,10.915806983694015
1730592000000,2024-11-03 00:00:00,1730678399999,2024-11-03 23:59:59,568.6,569.3,547.0,557.7,217508.468,121252911.9394,701156,91016.788,50727921.6929,22.299999999999955,3.921913471684832,-10.899999999999977,-1.9169890960253213,199910.065,13.227403771198471
1730678400000,2024-11-04 00:00:00,1730764799999,2024-11-04 23:59:59,557.7,564.8,543.6,552.5,264951.833,147460854.17364,773496,122080.264,67955779.67501,21.199999999999932,3.801326878249943,-5.2000000000000455,-0.9324009324009406,196942.3618,15.526073147078137
1730764800000,2024-11-05 00:00:00,1730851199999,2024-11-05 23:59:59,552.51,572.8,551.22,563.21,211437.753,118914324.13832,803821,106907.212,60146719.16516,21.579999999999927,3.9058116595174615,10.700000000000045,1.9366165318274866,194516.693,16.07875239824938
